fact_id,main_locator,numeric_fact,value_as_written,source_or_basis,source_value_or_calculation,check,verdict,issue_or_fix,priority
N001,L24-L35,Corpus record count,36,corpus/included + record-id-map,36 canonical YAML records and 36 mapped IDs,exact,DIRECT,Distinct from 50 source-layer bibliography entries,P1
N002,L30-L34,In-window autonomy-assessed records,14,evidence/autonomy-loop-assignments.csv,14 rows with A1/A2/uncertain in-window,exact,DIRECT,Canonical count reconciled,P1
N003,L188-L195,Raw arXiv search hits,973,docs/search-log.md,973,exact,DIRECT,Database-specific denominator only,P1
N004,L188-L195,Raw DBLP search hits,214,docs/search-log.md,214,exact,DIRECT,Database-specific denominator only,P1
N005,L200-L204,Deduplicated arXiv IDs,316,docs/search-log.md,316,exact,DIRECT,Not a three-stream total,P1
N006,L203-L207,Corpus source-role breakdown,"23 academic + 2 restricted surveys + 10 competition/industrial + 1 registry",manifest and corpus accounting,36 record-layer roles,exact,QUALIFIED,Source-layer role labels must not be added as unique records,P1
N007,L207-L209,Excluded candidates,4,docs/search-log.md and saturation rationale,4,exact,DIRECT,Procedural count; not independently reproduced,P2
N008,L51-L55,Big Sleep AFL effort,150 CPU-hours,pz-bigsleep extract,150 CPU-hours,exact,QUALIFIED,Vendor/project source; attributed rather than observed,P1
N009,L412-L425,OSS-Fuzz AI findings,26,ossfuzz-levelingup-2024 extract,26 vulnerabilities,exact,DIRECT,Google Security Blog report,P1
N010,L412-L425,OSS-Fuzz example CVE,CVE-2024-9143,ossfuzz-levelingup-2024 extract,identifier present,exact,DIRECT,No unsupported severity added,P1
N011,L452-L464,XBOW submission funnel,"~1,060 / 130 resolved / 303 triaged / 208 duplicate / 209 informative",xbow-top1-2025 extract,source reports these values,exact,QUALIFIED,Vendor snapshot and approximate denominator preserved,P1
N012,L458-L464,XBOW duplicate plus informative share,roughly 39%,417/1060=39.3396%,39% rounded,exact,DIRECT,Category labels retained; not called generic noise,P1
N013,L458-L464,Palo Alto GlobalProtect host reach,"2,000+ hosts",xbow-top1-2025 extract,"2,000+ hosts",exact,QUALIFIED,Vendor claim and no CVE identifier preserved,P2
N014,L466-L472,ARTEMIS study design,"6 agents vs 10 professionals; ~8,000 hosts; 12 subnets; first 10 of 16 hours",artemis local PDF/text,source abstract/setup matches,exact,DIRECT,Version/date qualification added,P1
N015,L522-L527,CVE-Bench critical-CVE exploitation,up to 13%,cve-bench-2025 extract,up to 13% in critical-severity category,exact,QUALIFIED,Sandbox condition retained,P1
N016,L523-L526,Co-RedTeam exploitation success,over 60%,co-redteam-2026 extract,over 60% across stated benchmarks,exact,QUALIFIED,Not compared directly with CVE-Bench,P2
N017,L526-L527,CyberGym scale,"1,507 vulnerabilities / 188 projects",arXiv 2506.02548 abstract,"1,507 / 188",exact,DIRECT,Current source version v3/ICLR 2026 mapped under normalized key,P1
N018,L530-L535,AIxCC finalist funnel,42 entrants to 7 finalists,OpenSSF/R7/local competition sources,42 and 7,exact,QUALIFIED,Accepted-team wording removed,P1
N019,L530-L535,AIxCC finalist award,$2M each,OpenSSF/R7/participant sources,$2M per finalist,exact,DIRECT,Competition-specific award scope,P1
N020,L537-L540,AIxCC score weights,6 vs 2 points,Team Atlanta/DARPA scoring sources,patching 6 and discovery 2,exact,DIRECT,Three-to-one incentive,P1
N021,L539-L545,Atlanta accuracy modifier,91.27% -> 0.9999,Team Atlanta AFC report,1-(1-.9127)^4=0.9999419 -> .9999,exact,DIRECT,Source-reported and independently reproducible,P1
N022,L539-L545,Theori accuracy modifier,44.4% -> 0.9044,Team Atlanta AFC report,source reports .9044; displayed formula gives 1-(1-.4444)^4=.9047096 -> .9047,CONFLICT,PARTIAL,Manuscript now states .9044 only as source-reported and records the independent recomputation,P1
N023,L543-L548,Trail of Bits final structure,48 challenges / 23 repositories,tob-buttercup-2025 extract,48 / 23,exact,DIRECT,Participant denominator kept qualified,P1
N024,L543-L548,R7 final structure,48 scored projects / 24 repositories,r7-sok-aixcc-2026 extract,48 / 24,exact,DIRECT,Explicit source-level discrepancy with N023,P1
N025,L548-L550,Autonomous operation duration,143 hours,r7-sok-aixcc-2026 extract,approximately 143 hours,exact,QUALIFIED,R7 systematization report; competition-bounded,P1
N026,L550-L557,Real bugs in final,6 C/C++ + 12 Java = 18,Team Atlanta AFC report,6+12=18,exact,QUALIFIED,Collective participant report,P1
N027,L554-L560,DARPA synthetic findings,54 across 63 final challenges; 86%,DARPA closeout,54/63=85.714% -> 86%,exact,DIRECT,"63 is final-challenge denominator, not 63 synthetic vulnerabilities",P1
N028,L554-L560,DARPA synthetic patches,43; 68%,DARPA closeout,43/63=68.254% -> 68%,exact,DIRECT,Source reports 68%; denominator scope clarified,P1
N029,L554-L560,DARPA real-vulnerability patches,11,DARPA closeout,11,exact,DIRECT,Separate from 43 synthetic patches,P1
N030,L559-L561,DARPA administrative correction,70 -> 63,DARPA closeout editor note,70 earlier count corrected to 63,exact,DIRECT,Administrative record correction label retained,P1
N031,L565-L590,Buttercup reported result,28 vulnerabilities / 19 patches / >90% accuracy / 20 CWE classes,tob-buttercup and R7,source values match,exact,QUALIFIED,Participant/systematization provenance retained,P2
N032,L565-L590,Reported cost per point,$181 vs $263,tob-buttercup and Team Atlanta reports,source values match,exact,QUALIFIED,Competition score accounting,P2
N033,L586-L590,Team compute totals,$103.3K / $39.6K / $31.8K,R7 and Trail of Bits reports,source values agree,exact,DIRECT,Reported totals not audited spend,P1
N034,L630-L648,SQLite semifinal timing,approximately 15 minutes,Team Atlanta ASC report,approximately 15 minutes,exact,QUALIFIED,Participant account; post-hoc maintainer action separated,P1
N035,L663-L676,Ada Logics reproduction count,27,OpenSSF retrospective,27 candidate real issues,exact,QUALIFIED,Foundation-relayed third-party exemplar,P1
N036,L706-L710,CodeRover-S repair efficacy,52.4% overall; 63% for 2024-detected vulnerabilities,ossfuzz-aifixing local text,52.4% and 63% in separate conditions,exact,DIRECT,Canonical YAML now records both scopes,P1
N037,L710-L716,CVE-Genie reproduction rate,approximately 51%,cve-genie local text,approximately 51%,exact,QUALIFIED,Paper-reported condition retained,P2
N038,L710-L716,CVE-Genie cost,\$2.77 per CVE,cve-genie local text,average $2.77,exact,QUALIFIED,Average cost not generalized beyond study,P2
N039,L882-L894,Fang information intervention,15 vulnerabilities; 87% with description; 7% without,fang local text,source abstract matches,exact,DIRECT,With/without condition preserved,P1
N040,L948-L956,Fang measured core,Pass@5 86.7%; overall 40% with descriptions; 7% without,fang local text,source results match,exact,DIRECT,Distinct metric scopes preserved,P1
N041,L884-L894,Fang baselines,0% across GPT-3.5/open-source/ZAP/Metasploit,fang local text,zero baselines in both conditions,exact,DIRECT,Bound to the experiment,P1
N042,L898-L905,PrimeVul F1 shift,68.26% -> 3.09%,primevul local text,source abstract/Table matches,exact,DIRECT,BigVul versus paired PrimeVul evaluation explicitly named,P1
N043,L905-L910,Argusee CSEv2 score,100%,darknavy Argusee extract,100% on CSEv2 buffer-overflow cases,exact,QUALIFIED,Human-supplied entry-point condition retained,P1
N044,L780-L786,OpenSSF FuzzingBrain results,62 vulnerabilities / 26 projects / 43 confirmed / 36 patched,OpenSSF retrospective,source extract values match,exact,QUALIFIED,Foundation-relayed/team-reported,P1
N045,L780-L786,OpenSSF OSS-CRS results,25 vulnerabilities / 16 projects,OpenSSF retrospective,source extract values match,exact,QUALIFIED,Foundation-relayed/team-reported,P1
N046,L820-L832,42-b3yond results,12 kernel-related + 10 user-space findings,OpenSSF retrospective,source extract values match,exact,QUALIFIED,Reported as retrospective ecosystem statistics,P2
N047,L789-L797,GTG-1002 autonomy estimate,80--90%,Anthropic summary/full report,80--90% campaign execution,exact,QUALIFIED,Vendor-assessed; human-selected targets and hallucination caveat retained,P1
N048,L799-L810,AIxCC prize accounting,\$29.5M / \$8.5M / \$30.5M,DARPA 2023; DARPA 2025 scoring; OpenSSF,commitment / final pool / distributed rounds,exact,DIRECT,Scopes explicitly separated,P1
N049,L934-L946,Contamination protocol components,5,internal protocol,temporal firewall + provenance + information condition + categories + adjudication,exact,DIRECT,Protocol proposal rather than measured result,P2
N050,L943-L946,Adjudication sample,10%,internal protocol,random 10% sample,exact,DIRECT,"Proposed control, not source result",P2
N051,L1039-L1043,In-window distribution,14 including 13 classified and 1 uncertain,corpus/assignment CSV,2 A1 + 11 A2 + 1 uncertain,exact,DIRECT,No A3 count shorthand in totals,P1
N052,L1288-L1310,Sensitivity counterfactual qualifiers,S1=1; S2=0; S3=0; S4=2,formal predicate table,derived from P/X/V/R/E candidate evidence,conditional,QUALIFIED,Counterfactual values do not change the strict bounded finding,P1
