claim_id,section,claim_text,citation_key,source,exact_locator,primary_or_secondary,status,notes,date_updated
C01,S1/S6,Fang et al.: GPT-4 autonomously exploited 87% of 15 one-day CVEs WHEN GIVEN CVE descriptions; 7% without; baselines 0%,fang2024one-day,arXiv 2404.08144 (local PDF),TXT lines 29-33;62;74-76;Table3 300-334;351;366-391,PENDING-PAGE-VERIFY-at-CP2,CLOSED-LOCAL,,2026-08-26
C02,S6,Big Sleep found first public AI-agent-discovered exploitable memory-safety zero-day: SQLite seriesBestIndex stack buffer underflow via generate_series ROWID constraint,pz-bigsleep-sqlite-2024,projectzero.google post,Discovered-Vulnerability section,VERIFIED-FULLTEXT,primary,,
C03,S9,AFL failed to rediscover the Big Sleep SQLite bug after 150 CPU-hours even with seeded corpus keywords,pz-bigsleep-sqlite-2024,same post,What-about-Fuzzing section para2,VERIFIED-FULLTEXT,primary,,
C04,S6,No CVE assigned to Big Sleep SQLite pre-release bug,pz-bigsleep-sqlite-2024,same post,negative observation across full text,VERIFIED-FULLTEXT,primary,,
C05,S8,Team Atlanta null-pointer dereference in SQLite at AIxCC inspired PZ's variant-analysis target choice,pz-bigsleep-sqlite-2024,same post,intro para3,VERIFIED-FULLTEXT,primary,,
C06,S6,XBOW reached #1 US HackerOne; ~1060 submissions; 130 resolved; 303 triaged; 33 new; human security team reviewed all findings pre-submission per H1 policy,xbow-top1-2025,xbow.com/blog/top-1-how-xbow-did-it,Real-World-Impact section,VERIFIED-FULLTEXT,vendor-claimed+platform-rank-corroborated,,
C07,S6,XBOW found unknown Palo Alto GlobalProtect VPN bug affecting 2000+ hosts,xbow-top1-2025,same post,penultimate paragraph,VERIFIED-FULLTEXT,vendor-claimed-no-CVE-given,,
C08,S5,DARKNAVY Argusee found+analyzed CVE-2025-37891 (Linux USB MIDI2->UMP length checks; kernel heap overflow); humans exploited it to root on Arch,darknavy-argusee-2025,darknavy.org blog,intro+kernel-section,VERIFIED-FULLTEXT,vendor-claimed,,
C09,S4/A2-classification,Argusee requires human-provided entry points and context; not autonomous from-scratch discovery,darknavy-argusee-2025,same post,architecture para2,VERIFIED-FULLTEXT,primary,,
C10,S9,Argusee scored 100% on CyberSecEval 2 single-file Buffer Overflow cases (saturation datum),darknavy-argusee-2025,same post,Evaluation-Benchmark section,VERIFIED-FULLTEXT,vendor-claimed,,
C11,S8,Anthropic: threat actor used Claude Code for 80-90% of espionage campaign vs ~30 orgs; sporadic human control (4-6 decision points),anthropic-gtg1002-espionage-2025,anthropic.com disclosure,How-the-cyberattack-worked final paras,VERIFIED-FULLTEXT,vendor-claimed,,
C12,S9,GTG campaign caveat: agent hallucinated credentials/public-info claims — obstacle to fully autonomous ops,anthropic-gtg1002-espionage-2025,same post,reliability paragraph,VERIFIED-FULLTEXT,primary-vendor,,
C13,S6/ApxC,AIxCC finals: Team Atlanta $4M / Trail of Bits $3M / Theori $1.5M; 7 finalists from ASC; AFC mimicked CI/CD pipeline,openssf-retro2026+r7-sok-aixcc2026,OpenSSF retro + R7 SoK,retro Background section; R7 tables,CROSS-CORROBORATED,$4M also in SVCC tutorial page snippet,,
C14,S6,Team compute costs: Atlanta $103.3K ToB $39.6K Theori $31.8K (+75.4/57.8/39.8/7.8 others); provider-level breakdown available,r7-sok-aixcc2026,R7 SoK local PDF,cost table line~1304,LOCALLY-VERIFIED,primary,,
C15,ApxC,ASC had 42 accepted team submissions across two tracks,openssf-retro2026,OpenSSF retro,Background,VERIFIED-FULLTEXT,foundation-reported,,
C16,S6/S9,Ada Logics (via OSTIF) reproduced/confirmed 27 real candidate issues from AIxCC across cURL shadowsocks-libev healthcare-data-harmonization hertzbeat little-cms mongoose,openssf-retro2026,same,The-Findings section,VERIFIED-FULLTEXT,third-party-verification-pass,,
C17,S7/B4,Post-AIxCC redeployment: FuzzingBrain 62 vulns/26 projects/43 confirmed/36 patched; OSS-CRS 25 vulns/16 projects; 42-b3yond-6ug 12 kernel + 10 zero-days,openssf-retro2026,same,Conclusion-Looking-Forward,VERIFIED-FULLTEXT,team-relayed-by-foundation,,
C18,ApxC,Prize pool discrepancy: $30.5M distributed (OpenSSF) vs ~$29.5M announced total (spec-corpus/DARPA press),openssf-retro2026 vs DARPA,conflict,retro Background vs DARPA announcements,[TO-VERIFY],reconcile-vs-darpa-primary,,
C19,S6,48 challenges across 23 OSS repos (spec known-good) vs R7 SoK '24 OSS-Fuzz repositories containing 63...',r7-sok-aixcc2026 vs DARPA,conflict,R7 line~174,[TO-VERIFY],RESOLVED-DUAL-REFERENT,"48=challenge projects (ToB primary); 63=synthetic vulns in finals per DARPA editor-note (corrected from 70); different units, no contradiction",2026-08-26
C20,S6,Buttercup: 28 vulnerabilities + 19 patches,tob-buttercup2025,ToB blog expected,ToB blog final-round paragraph,[TO-VERIFY],CLOSED-PRIMARY,,2026-08-26
C21,S6,OSS-Fuzz-LLM: 26 vulns incl CVE-2024-9143 (OpenSSL),ossfuzz-levelingup-2024,unlocated this session,opening paragraph verbatim,[TO-VERIFY],CLOSED-PRIMARY,,2026-08-26
C22,S6/Cmp,GTG-1002 designation string,anthropic-gtg1002-report-2025,summary page lacks string,report PDF GTG-1002 x3; changelog Nov17 2025,[TO-VERIFY],CLOSED-FULL-PDF,,2026-08-26
C23,S6,blog.google announcement phrase 'known only to threat actors' re CVE-2025-6965,bloggoogle-summer2025,press cluster,grep-verified exact strings in fetched page,SECONDARY-quote-of-primary,CLOSED-PRIMARY,,2026-08-26
C24,S6,CVE-2025-6965 exists: SQLite <3.50.2 aggregate-terms memory corruption; published 2025-07-15; Google CNA; CWE-197,nvd-cve-2025-6965,NVD registry,NVD detail page,REGISTRY-CONFIRMED,primary-registry,,
C25,S5,ARTEMIS study: ~8000 hosts/12 subnets; ten professionals vs six agents+ARTEMIS; Claude Sonnet 4 sub-agents; 16h runs scored first 10h,artemis-study2025,arXiv 2512.09882 local PDF,setup sections,PENDING-CLOSEREAD,'90% of pentesters' phrasing EXCLUDED as press-only,,
C26,S2,R6 = TOSEM SLR 263 studies Jan2020-Nov2025 accepted 04/2026 DOI 10.1145/3815425; repo live,r6-tosem2026,dl.acm.org + Awesome-LLM4SVD README,repo lines 5-21,REPO-VERIFIED,metadata primary,,
