line,category,citations,scope_or_qualification,result,source_context
33,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"operation, and the DARPA AI Cyber Challenge's fully autonomous scored rounds. No included"
36,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"citing AIxCC as inspiration) while declining field-wide causal claims, and we systematize"
54,AIxCC,"darparesults2025,r7sokaixcc2026",AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"vulnerabilities in open-source software~\cite{darparesults2025,r7sokaixcc2026}; and Anthropic"
55,GTG-1002,anthropicgtg2025,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,reported (as a single-source threat-intelligence assessment) an intrusion campaign whose execution was 80--90\% autonomous~\cite{anthropicgtg2025}.
84,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,a documented cross-program causal edge from the AIxCC competition to Project Zero's research
140,AIxCC,r6tosem2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"November 2025 but no offense axis and no industrial track~\cite{r6tosem2026}. R7, the AIxCC"
143,AIxCC,r7sokaixcc2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,validity critique its design-focused treatment does not attempt~\cite{r7sokaixcc2026}.
160,AIxCC,r7sokaixcc2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,R7 \cite{r7sokaixcc2026}       & Aug'26 & C & C & P & C & A\\
245,GTG-1002,,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,"cases (GTG-1002, XBOW, ARTEMIS, Big Sleep, Argusee, AIxCC cluster) receiving additional"
248,GTG-1002,,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,boundaries (E1 vs.\ E2); GTG-1002 remains unresolved because the available incident
273,AIxCC,r7sokaixcc2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"AIxCC~\cite{r7sokaixcc2026}, and it is classified \emph{n/a} on both axes."
285,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"experimental design: AIxCC is E1 (forked repositories, inserted bugs), while ARTEMIS is E2"
287,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"\emph{no human interaction} $\neq$ A3, since AIxCC CRSs satisfied execution autonomy inside"
291,GTG-1002,,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,"GTG-1002 incident remains \emph{unresolved} rather than A3, where evidence is insufficient"
297,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"(e.g., AIxCC CRSs $\{B1,B2,B3\}$) and drawn with neutral connectors denoting documented"
