audit_head,record_id,citation_key,yaml_reference_key,yaml_year,csv_year,table_year,yaml_unit,csv_unit,table_unit,yaml_autonomy,csv_autonomy,table_autonomy,yaml_loop,csv_loop,table_loop,yaml_eclass,table_eclass,yaml_access,csv_access,table_access,table_present,predicate_status
80f6ce263b2ef78e14437752d0f54305c41ae9da,agentless2024,agentless2024,agentless2024,2024,2024,2024,system,system,system(experiment-benchmark),A1,A1,A1,B3,B3,B3,experiment,experiment,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,argusee2025,darknavyargusee2025,argusee2025,2025,2025,2025,system,system,system,A2,A2,A2,B1,B1,B1,production discovery,production discovery,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,artemis2025,artemis2025,artemis2025,2025,2025,2025,experiment,experiment,experiment,A2,A2,A2,B1+B2,B1+B2,B1+B2,production-network experiment,live enterprise-network experiment,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,autocoderoever-2024,autocoderoever-2024,autocoderoever-2024,2024,2024,2024,system,system,system(experiment-benchmark),A2,A2,A2,B3,B3,B3,experiment,experiment,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,bigsleep2024,bigsleep2024,bigsleep2024,2024,2024,2024,system,system,system,A2,A2,A2,B1,B1,B1,production discovery,production discovery,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,bloggoogle-summer2025,bloggoogle2025,bloggoogle-summer2025,2025,2025,2025,program-record,program-record,program-record,n-a,n-a,n/a,B4,B4,B4 — documents B1 discovery $to$ announced B4 redeployment of Big Sleep to OSS projects,program-announcement,program-announcement,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,csev12023bg,csev12023bg,csev12023bg,2023,2023,2023,,,benchmark,A0,A0,A0,B1,B1,B1,benchmark(bg),benchmark,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,csev22024,csev22024,csev22024,2024,2024,2024,benchmark,benchmark,benchmark,n/a,n/a,n/a,n/a,n/a,"n/a — probed {B1,B2}",benchmark,benchmark,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,csev32024,csev32024,csev32024,2024,2024,2024,benchmark,benchmark,benchmark,n/a,n/a,n/a,n/a,n/a,"n/a — probed {B1,B2}",benchmark,benchmark,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,cybench2024,cybench2024,cybench2024,2024,2024,2024,benchmark,benchmark,benchmark,n/a,n/a,n/a,n/a,n/a,n/a — probed {B2},benchmark,benchmark,oa-pdf,oa-pdf,PDF,True,PASS
