audit_head,bib_key,entry_type,bib_year,manifest_year,venue,source_access,local_pdf,local_txt,identity_check,metadata_check,claim_use_scope,version_scope,notes
80f6ce263b2ef78e14437752d0f54305c41ae9da,fang2024agents,current refs.bib entry,2024,2024,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,87%/7% description-dependence anchor
80f6ce263b2ef78e14437752d0f54305c41ae9da,r7sokaixcc2026,current refs.bib entry,2026,2026,USENIX Security 2026 (arXiv camera-ready),full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,journal-ref=USENIX Sec 2026; costs 103.3/39.6/31.8 $K verified line~1304
80f6ce263b2ef78e14437752d0f54305c41ae9da,artemis2025,current refs.bib entry,2025,2025,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,'90% of pentesters' is press-only phrasing
80f6ce263b2ef78e14437752d0f54305c41ae9da,mcpfirstlook2025,current refs.bib entry,2025,2025,DSN 2026 (accepted),full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,arXiv preprint 2025; accepted DSN 2026; BibTeX intentionally uses publication year 2026,"67,057 servers / 833 vulnerable from local full text at CP2; arXiv preprint is 2025, while BibTeX records accepted DSN publication year 2026"
80f6ce263b2ef78e14437752d0f54305c41ae9da,mcpgovernance2025,current refs.bib entry,2025,2025,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,mcpspec2026,current refs.bib entry,2026,2026,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,mcppoisoning2026,current refs.bib entry,2026,2026,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,intercode2023,current refs.bib entry,2023,2023,arXiv (background),full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,pre-window background anchor
80f6ce263b2ef78e14437752d0f54305c41ae9da,csev12023bg,current refs.bib entry,2023,2023,arXiv (background),full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,pre-window background anchor
80f6ce263b2ef78e14437752d0f54305c41ae9da,csev22024,current refs.bib entry,2024,2024,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,Naptime used CSEv2 SOTA-improvement as evidence
