reference_key,canonical_filename,title,authors,year,venue,source_type,primary_or_secondary,DOI,arxiv_id,canonical_url,pdf_path,txt_path,download_date,source_verified,conversion_status,title_verified,citation_verified,notes,provenance_type,bib_key
fang-agents-exploit-one-day-2024,fang-agents-exploit-one-day-2024.pdf,LLM Agents can Autonomously Exploit One-day Vulnerabilities,Fang et al.,2024,arXiv preprint,academic-paper,PRIMARY,,2404.08144,https://arxiv.org/abs/2404.08144,references/pdf/fang-agents-exploit-one-day-2024.pdf,references/txt/fang-agents-exploit-one-day-2024.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,87%/7% description-dependence anchor,PDF+TXT,fang2024agents
r7-sok-aixcc-2026,r7-sok-aixcc-2026.pdf,"SoK: DARPA's AI Cyber Challenge (AIxCC): Competition Design, Architectures, and Lessons Learned",(authors in PDF),2026,USENIX Security 2026 (arXiv camera-ready),academic-paper,PRIMARY,10.48550/arXiv.2602.07666,2602.07666,https://arxiv.org/abs/2602.07666,references/pdf/r7-sok-aixcc-2026.pdf,references/txt/r7-sok-aixcc-2026.txt,2026-08-26,yes,pdf+txt OK,yes,COST-TABLE-VERIFIED,journal-ref=USENIX Sec 2026; costs 103.3/39.6/31.8 $K verified line~1304,,r7sokaixcc2026
artemis-vs-professionals-2025,artemis-vs-professionals-2025.pdf,Comparing AI Agents to Cybersecurity Professionals in Real-World Penetration Testing,(authors in PDF),2025,arXiv preprint,academic-paper,PRIMARY,10.48550/arXiv.2512.09882,2512.09882,https://arxiv.org/abs/2512.09882,references/pdf/artemis-vs-professionals-2025.pdf,references/txt/artemis-vs-professionals-2025.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,'90% of pentesters' is press-only phrasing,PDF+TXT,artemis2025
mcp-ecosystem-security-2025,mcp-ecosystem-security-2025.pdf,A First Look at the Security Issues in the Model Context Protocol Ecosystem,(authors in PDF),2025,DSN 2026 (accepted),academic-paper,PRIMARY,10.48550/arXiv.2510.16558,2510.16558,https://arxiv.org/abs/2510.16558,references/pdf/mcp-ecosystem-security-2025.pdf,references/txt/mcp-ecosystem-security-2025.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,"67,057 servers / 833 vulnerable from local full text at CP2; arXiv preprint is 2025, while BibTeX records accepted DSN publication year 2026",PDF+TXT,mcpfirstlook2025
mcp-risks-controls-governance-2025,mcp-risks-controls-governance-2025.pdf,Securing the Model Context Protocol (MCP): Risks Controls and Governance,(authors in PDF),2025,arXiv preprint,academic-paper,PRIMARY,10.48550/arXiv.2511.20920,2511.20920,https://arxiv.org/abs/2511.20920,references/pdf/mcp-risks-controls-governance-2025.pdf,references/txt/mcp-risks-controls-governance-2025.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,mcpgovernance2025
mcp-spec-injection-analysis-2026,mcp-spec-injection-analysis-2026.pdf,Breaking the Protocol: Security Analysis of the Model Context Protocol Specification...,(authors in PDF),2026,arXiv preprint,academic-paper,PRIMARY,10.48550/arXiv.2601.17549,2601.17549,https://arxiv.org/abs/2601.17549,references/pdf/mcp-spec-injection-analysis-2026.pdf,references/txt/mcp-spec-injection-analysis-2026.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,mcpspec2026
mcp-tool-poisoning-threat-model-2026,mcp-tool-poisoning-threat-model-2026.pdf,Model Context Protocol Threat Modeling and Analyzing Vulnerabilities to Prompt Injection with Tool Poisoning,(authors in PDF),2026,arXiv preprint,academic-paper,PRIMARY,10.48550/arXiv.2603.22489,2603.22489,https://arxiv.org/abs/2603.22489,references/pdf/mcp-tool-poisoning-threat-model-2026.pdf,references/txt/mcp-tool-poisoning-threat-model-2026.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,mcppoisoning2026
intercode-ctf-2023-bg,intercode-ctf-2023-bg.pdf,InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback,(authors in PDF),2023,arXiv (background),academic-paper,PRIMARY,BACKGROUND,2306.14898,https://arxiv.org/abs/2306.14898,references/pdf/intercode-ctf-2023-bg.pdf,references/txt/intercode-ctf-2023-bg.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,pre-window background anchor,PDF+TXT,intercode2023
cyberseceval-v1-2023-bg,cyberseceval-v1-2023-bg.pdf,Purple Llama CyberSecEval: A Secure Coding Benchmark for Language Models,Meta,2023,arXiv (background),academic-paper,PRIMARY,BACKGROUND,2312.04724,https://arxiv.org/abs/2312.04724,references/pdf/cyberseceval-v1-2023-bg.pdf,references/txt/cyberseceval-v1-2023-bg.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,pre-window background anchor,PDF+TXT,csev12023bg
cyberseceval-v2-2024,cyberseceval-v2-2024.pdf,CyberSecEval 2: A Wide-Ranging Cybersecurity Evaluation Suite for Large Language Models,Meta,2024,arXiv preprint,academic-paper,PRIMARY,10.48550/arXiv.2404.13161,2404.13161,https://arxiv.org/abs/2404.13161,references/pdf/cyberseceval-v2-2024.pdf,references/txt/cyberseceval-v2-2024.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,Naptime used CSEv2 SOTA-improvement as evidence,PDF+TXT,csev22024
