reference_key,year,temporal_scope,unit_type,access_status,autonomy_level,loop_position(set),probed_phases_or_task_domain,loop_evidence_role
agentless2024,2024,in-window,system,oa-pdf,A1,B3,,
argusee2025,2025,in-window,system,html-primary,A2,B1,,
artemis2025,2025,in-window,experiment,oa-pdf,A2,B1+B2,,
autocoderoever-2024,2024,in-window,system,oa-pdf,A2,B3,,
bigsleep2024,2024,in-window,system,html-primary,A2,B1,,
bloggoogle-summer2025,2025,in-window,program-record,html-primary,n-a,B4,,loop-transition-documentation
csev12023bg,2023,background,,oa-pdf,A0,B1,,
csev22024,2024,in-window,benchmark,oa-pdf,n/a,n/a,"{B1,B2}",
csev32024,2024,in-window,benchmark,oa-pdf,n/a,n/a,"{B1,B2}",
cybench2024,2024,in-window,benchmark,oa-pdf,n/a,n/a,{B2},
fang2024one-day,2024,in-window,experiment,oa-pdf,A2,B2,,
gtg1002-2025,2025,in-window,incident-documentation,html-primary,uncertain,B1+B2,,
intercode2023bg,2023,background,benchmark,oa-pdf,A1,B2,,
mcpeco2025,2025,in-window,measurement-study,oa-pdf,n-a,n-a,,
mcpgov2025,2025,in-window,documentary-source,oa-pdf,n-a,n-a,,
mcppoison2026,2026,in-window,documentary-source,oa-pdf,n-a,n-a,,
mcpspec2026,2026,in-window,documentary-source,oa-pdf,n-a,n-a,,
nvdcve20256965,2025,in-window,registry,html-primary,n-a,n-a,,
nyuctfbench2024,2024,in-window,benchmark,oa-pdf,n/a,n/a,{B2},
openssfretro2026,2026,in-window,program-record,html-primary,n-a,B4,,loop-transition-documentation
ossfuzz-aifixing-2024,2024,in-window,experiment,oa-pdf,A2,B3,,
ossfuzz-levelingup-2024,2024,in-window,system,html-primary,A1,B1,,
primevul2024,2024,in-window,dataset,oa-pdf,n-a,n/a,B1 detection (dataset standard),
r1slr2024,2024,in-window,survey,oa-pdf,n-a,n-a,,
r2slr2024,2024,in-window,survey,oa-pdf,n-a,n-a,,
r3survey2026,2026,out-of-window,survey,oa-pdf,n-a,n-a,,
r4csur2025,2026,in-window,survey,paywalled,n-a,n-a,,
r5usenix26agentic,2026,in-window,survey,oa-pdf,n-a,n-a,,
r6tosem2026,2026,in-window,survey,paywalled,n-a,n-a,,
r7sokaixcc2026,2026,in-window,survey(systematization),oa-pdf,n/a,n/a,,
rissebohme-wrongexam2024,2024,in-window,,oa-pdf,n-a,n-a,,
sweagent2024,2024,in-window,system,oa-pdf,A2,B3,,
teamatlanta-afc2025,2025,in-window,system,html-primary,A2,B1+B2+B3,,
teamatlanta-sqlite2024,2024,in-window,system,html-primary,A2,B1+B2+B3,,
tob-buttercup2025,2025,in-window,system,html-primary,A2,B1+B2+B3,,
xbow2025,2025,in-window,system,html-primary,A2,B1+B2,,
