claim_id,section,main_locator,claim_text,citation_keys,primary_source_locator,evidence_class,qualifier_status,support_verdict,audit_note,priority
C001,Abstract,L24-L31,"The paper analyzes a 36-record multi-stream corpus across academic, competition/industrial, and registry material.","internal corpus",corpus/included + references/record-id-map.csv,"corpus accounting","record-layer count",DIRECT,"36 is the canonical record count; source-map has 50 source-layer entries and must not be substituted.",P1
C002,Abstract,L30-L34,"Fourteen in-window records underwent autonomy assessment.","internal corpus",evidence/autonomy-loop-assignments.csv,"taxonomy accounting","in-window only",DIRECT,"14 = A1 2 + A2 11 + uncertain 1 after canonical normalization.",P1
C003,Abstract,L31-L35,"A1 pipeline automation appears at ecosystem scale and A2 task agents occur in seeded production research, entry-point-assisted auditing, black-box operation, and AIxCC scored rounds.","ossfuzz-levelingup-2024; bigsleep2024; darknavyargusee2025; xbowtop12025; r7sokaixcc2026",references/txt/* mapped extracts,"synthesis","vendor/participant qualifiers retained",QUALIFIED,"Cross-record synthesis; not a longitudinal causal estimate.",P1
C004,Abstract,L33-L35,"No included evidence met the operational definition of A3.","internal taxonomy",docs/research-protocol.md:A3 rule + evidence/autonomy-loop-assignments.csv,"bounded negative","corpus/window/definition bounded",DIRECT,"Use only the bounded wording; it is not a claim about all existing systems.",P1
C005,Abstract,L35-L39,"Project Zero's SQLite campaign explicitly cites AIxCC as inspiration.","bigsleep2024",references/txt/pz-bigsleep-sqlite-2024.txt:opening rationale,"documented response edge","primary vendor blog",DIRECT,"Direct named mechanism and chronology support D1.",P1
C006,Abstract,L36-L41,"Information conditions, dataset reconstruction, and PoV-oracle design materially affect reported security-agent results.","fang2024agents; primevul2024; taafc2025",references/txt/fang-agents-exploit-one-day-2024.txt:abstract; references/txt/primevul-how-far-are-we-2024.txt:abstract; references/txt/teamatlanta-afc-2025.txt:oracle section,"controlled studies + participant report","conditions stated",QUALIFIED,"Three separate validity findings; do not collapse them into one effect estimate.",P1
C007,Introduction,L50-L55,"Big Sleep found a vulnerability after approximately 150 CPU-hours of AFL effort and was influenced by AIxCC.","bigsleep2024",references/txt/pz-bigsleep-sqlite-2024.txt:dateline and finding summary,"vendor blog","vendor-reported",QUALIFIED,"150 CPU-hours and inspiration are direct source claims; no independent reproduction is asserted.",P1
C008,Introduction,L52-L54,"XBOW briefly held the top US position on HackerOne.","xbowtop12025",references/txt/xbow-top1-2025.txt:opening paragraphs,"vendor blog","time snapshot",QUALIFIED,"Rank is a dated vendor-reported leaderboard snapshot.",P2
C009,Introduction,L54-L56,"AIxCC had seven finalist systems and its final involved autonomous scored operation.","darparesults2025; r7sokaixcc2026",darpa.mil/news/2025/aixcc-results; references/txt/r7-sok-aixcc-2026.txt:competition overview,"official closeout + SoK","competition environment",QUALIFIED,"Autonomous operation is inside the E1 competition setting, not production E2.",P1
C010,Introduction,L55-L56,"Anthropic reported 80--90% autonomous execution in the GTG-1002 incident.","anthropicgtg2025; anthropicgtgreport2025",references/txt/anthropic-gtg1002-espionage-2025.txt:verified claim 2; references/txt/anthropic-gtg1002-report-2025.txt:opening section,"vendor incident report","vendor-assessed; hallucination caveat",QUALIFIED,"The report supports the percentage but not independent attribution or a definitive A3 classification.",P1
C011,Introduction,L66-L68,"GPT-4 exploited 87% of one-day vulnerabilities with descriptions and 7% without.","fang2024agents",references/txt/fang-agents-exploit-one-day-2024.txt:abstract,"controlled experiment","15-vulnerability sample; supplied-information condition",DIRECT,"The manuscript preserves the with/without condition.",P1
C012,Introduction,L70-L79,"The canonical corpus contains 36 records, including 14 autonomy-assessed records and one unresolved/uncertain incident classification.","internal corpus",corpus/included + evidence/autonomy-loop-assignments.csv,"corpus accounting","canonical layer",DIRECT,"Narrative uses unresolved evidence; taxonomy field is normalized to uncertain.",P1
C013,Introduction,L91-L97,"I1 frames an autonomy-centered measurement shift; I2 limits co-evolution to documented edges; I3 remains an assessment pending decision-impact evidence.","internal synthesis",main.tex:discussion and protocol amendments,"interpretive claims","explicitly bounded",DIRECT,"These are author propositions, not external facts.",P1
C014,Related work,L131-L143,"R1 predates the agentic turn; R2 covers detection-to-remediation; R3 is a July 2026 comparator; R4/R6 are detection-centric; R7 is AIxCC systematization.","r1slr2024; r2slr2024; r3survey2026; r4csur2025; r6tosem2026; r7sokaixcc2026",local PDFs/TXTs and official arXiv/DOI metadata,"related-work characterization","R3 out-of-window; R4/R6 metadata-only",QUALIFIED,"R3 is excluded from migration evidence; R4/R6 are not used for full-text empirical claims.",P1
C015,Methodology,L188-L195,"The search used eight arXiv formulations with 973 raw hits and four DBLP queries with 214 hits.","search log",docs/search-log.md:search tables,"search accounting","database-specific denominators",DIRECT,"Counts are protocol records, not deduplicated corpus counts.",P1
