metric,value
year_2023,2
year_2024,16
year_2025,11
year_2026,7

evidence_class_benchmark,6
evidence_class_survey,6
evidence_class_experiment,3
evidence_class_competition-participant,3
evidence_class_production discovery,2
evidence_class_production-network experiment,1
evidence_class_program-announcement,1
evidence_class_controlled experiment,1
evidence_class_incident report,1
evidence_class_measurement,1
evidence_class_positional/measurement,1
evidence_class_analysis/experiment,1
evidence_class_analysis,1
evidence_class_registry,1
evidence_class_foundation closeout,1
evidence_class_industrial-system-report,1
evidence_class_dataset/validity study,1
evidence_class_competition,1
evidence_class_validity-critique,1
evidence_class_benchmark/experiment,1
evidence_class_production stats,1

autonomy_level_n-a,15
autonomy_level_A2,13
autonomy_level_A1,4
autonomy_level_A0,3
autonomy_level_uncertain,1

loop_position_n-a,12
loop_position_multi,10
loop_position_B1,5
loop_position_B3,4
loop_position_B2,4
loop_position_B4,1

scope_class_paper,6
scope_class_benchmark-suite,6
scope_class_survey,6
scope_class_vendor-blog,4
scope_class_corporate-blog,2
scope_class_measurement-study,2
scope_class_analysis-paper,2
scope_class_team-blog,2
scope_class_incident-report,1
scope_class_registry-record,1
scope_class_foundation-blog,1
scope_class_dataset,1
scope_class_competition-analysis-paper,1
scope_class_methodological-paper,1

access_status_oa-pdf,23
access_status_html-primary,11
access_status_paywalled,2

total_records,36
streams,academic-incl-bg-and-R5=23 industrial-docs=10 registry=1 restricted-meta=2
excluded_records,4
