citation_key,text_file,pdf_file,source_type,authority,corpus_role
agentless2024,agentless-2024,agentless-2024.pdf,peer_reviewed_paper,primary,included_record
anthropicgtg2025,anthropic-gtg1002-report-2025,,vendor_report,primary_vendor,included_record
anthropicgtgreport2025,anthropic-gtg1002-report-2025,anthropic-gtg1002-report-2025.pdf,vendor_report,primary_vendor,included_record
artemis2025,artemis-vs-professionals-2025,artemis-vs-professionals-2025.pdf,peer_reviewed_paper,primary,included_record
autocoderoever-2024,autocoderoever-2024,autocoderoever-2024.pdf,peer_reviewed_paper,primary,included_record
bigsleep2024,pz-bigsleep-sqlite-2024,,vendor_blog,primary_vendor,included_record
bloggoogle2025,bloggoogle-summer2025,,vendor_blog,primary_vendor,loop_transition
coredteam2026,co-redteam-2026,co-redteam-2026.pdf,peer_reviewed_paper,primary,included_record
csev12023bg,cyberseceval-v1-2023-bg,cyberseceval-v1-2023-bg.pdf,peer_reviewed_paper,primary,background_anchor
csev22024,cyberseceval-v2-2024,cyberseceval-v2-2024.pdf,peer_reviewed_paper,primary,included_record
csev32024,cyberseceval-v3-2024,cyberseceval-v3-2024.pdf,peer_reviewed_paper,primary,included_record
cvebench2025,cve-bench-2025,cve-bench-2025.pdf,peer_reviewed_paper,primary,included_record
cvegenie2025,cve-genie-2025,cve-genie-2025.pdf,peer_reviewed_paper,primary,included_record
cybench2024,cybench-2024,cybench-2024.pdf,peer_reviewed_paper,primary,included_record
cybergym2025,cybergym-2025,cybergym-2025.pdf,peer_reviewed_paper,primary,included_record
darknavyargusee2025,darknavy-argusee-2025,,vendor_report,primary_vendor,included_record
darparesults2025,,,darpa_official,primary,included_record
darpascoring2025,,,darpa_official,primary,included_record
fang2024agents,fang-agents-exploit-one-day-2024,fang-agents-exploit-one-day-2024.pdf,peer_reviewed_paper,primary,included_record
intercode2023,intercode-ctf-2023-bg,intercode-ctf-2023-bg.pdf,peer_reviewed_paper,primary,background_anchor
llm4cve2025,llm4cve-2025,llm4cve-2025.pdf,peer_reviewed_paper,primary,included_record
llmaprsurvey2026,llm-apr-survey-2026,llm-apr-survey-2026.pdf,peer_reviewed_paper,primary,included_record
logsinpatchesout2025,logs-in-patches-out-2025,logs-in-patches-out-2025.pdf,peer_reviewed_paper,primary,included_record
mcpfirstlook2025,mcp-ecosystem-security-2025,mcp-ecosystem-security-2025.pdf,peer_reviewed_paper,primary,included_record
mcpgovernance2025,mcp-risks-controls-governance-2025,mcp-risks-controls-governance-2025.pdf,peer_reviewed_paper,primary,included_record
mcppoisoning2026,mcp-tool-poisoning-threat-model-2026,mcp-tool-poisoning-threat-model-2026.pdf,peer_reviewed_paper,primary,included_record
mcpspec2026,mcp-spec-injection-analysis-2026,mcp-spec-injection-analysis-2026.pdf,peer_reviewed_paper,primary,included_record
nvd6965,nvd-cve-2025-6965-full,,registry_record,primary,included_record
nyuctfbench2024,nyu-ctf-bench-2024,nyu-ctf-bench-2024.pdf,peer_reviewed_paper,primary,included_record
openssfaixcc2026,openssf-aixcc-retrospective-2026,,foundation_report,secondary_relay,loop_transition
ossfuzz-aifixing-2024,ossfuzz-aifixing-2024,ossfuzz-aifixing-2024.pdf,peer_reviewed_paper,primary,included_record
ossfuzz-levelingup-2024,ossfuzz-levelingup-2024,,vendor_blog,primary_vendor,included_record
patcheval2025,patcheval-2025,patcheval-2025.pdf,peer_reviewed_paper,primary,included_record
pentestgpt2024,pentestgpt-2024,pentestgpt-2024.pdf,peer_reviewed_paper,primary,included_record
primevul2024,primevul-how-far-are-we-2024,primevul-how-far-are-we-2024.pdf,peer_reviewed_paper,primary,included_record
r1slr2024,r1-slr-llm-cybersec-2024,r1-slr-llm-cybersec-2024.pdf,peer_reviewed_paper,primary,included_record
r2slr2024,r2-slr-llm-code-security-2024,r2-slr-llm-code-security-2024.pdf,peer_reviewed_paper,primary,included_record
r3survey2026,r3-survey-llm-pentest-2026,r3-survey-llm-pentest-2026.pdf,peer_reviewed_paper,primary,included_record
r4csur2025,,,peer_reviewed_paper,paywalled,included_record
r5usenix26agentic,r5-usenix26-agentic-sok,r5-usenix26-agentic-sok.pdf,peer_reviewed_paper,primary,included_record
r6tosem2026,,,peer_reviewed_paper,paywalled,included_record
r7sokaixcc2026,r7-sok-aixcc-2026,r7-sok-aixcc-2026.pdf,peer_reviewed_paper,primary,included_record
repoaudit2025,repoaudit-2025,repoaudit-2025.pdf,peer_reviewed_paper,primary,included_record
rissebohme-wrongexam2024,risse-bohme-wrong-exam-2024,risse-bohme-wrong-exam-2024.pdf,peer_reviewed_paper,primary,included_record
sweagent2024,sweagent-2024,sweagent-2024.pdf,peer_reviewed_paper,primary,included_record
taafc2025,teamatlanta-afc-2025,,competition_report,primary_participant,included_record
taasc2024,teamatlanta-sqlite-asc2024,,competition_report,primary_participant,included_record
tobbuttercup2025,tob-buttercup-2025,,competition_report,primary_participant,included_record
xbowtop12025,xbow-top1-2025,,vendor_blog,primary_vendor,included_record
