citation_key,entry_type,cited_occurrences,canonical_record_id,source_map_present,source_type,authority,corpus_role,local_pdf,local_text,provenance,metadata_audit,notes
taafc2025,misc,16,teamatlanta-afc2025,yes,competition_report,primary_participant,included_record,no,yes,HTML+EXTRACT,PASS,
tobbuttercup2025,misc,10,tob-buttercup2025,yes,competition_report,primary_participant,included_record,no,yes,HTML+EXTRACT,PASS,
openssfaixcc2026,misc,9,openssfretro2026,yes,foundation_report,secondary_relay,loop_transition,no,yes,HTML+EXTRACT,PASS,
r7sokaixcc2026,inproceedings,9,r7sokaixcc2026,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,21-author arXiv record aligned; USENIX Security 2026 journal reference
xbowtop12025,misc,8,xbow2025,yes,vendor_blog,primary_vendor,included_record,no,yes,HTML+EXTRACT,PASS,
bigsleep2024,misc,7,bigsleep2024,yes,vendor_blog,primary_vendor,included_record,no,yes,HTML+EXTRACT,PASS,
darparesults2025,misc,7,,yes,darpa_official,primary,included_record,no,no,WEBFETCH-FULLTEXT,PASS,official DARPA page web-verified; no local downloaded artifact
taasc2024,misc,6,teamatlanta-sqlite2024,yes,competition_report,primary_participant,included_record,no,yes,HTML+EXTRACT,PASS,
darknavyargusee2025,misc,5,argusee2025,yes,vendor_report,primary_vendor,included_record,no,yes,HTML+EXTRACT,PASS,
ossfuzz-levelingup-2024,misc,5,ossfuzz-levelingup-2024,yes,vendor_blog,primary_vendor,included_record,no,yes,WEBFETCH-FULLTEXT,PASS,
anthropicgtg2025,misc,4,gtg1002-2025,yes,vendor_report,primary_vendor,included_record,no,yes,HTML+EXTRACT,PASS,summary extract; full-report extract is separate key
darpascoring2025,misc,4,,yes,darpa_official,primary,included_record,no,no,WEBFETCH-FULLTEXT,PASS,official DARPA page web-verified; no local downloaded artifact
primevul2024,misc,4,primevul2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
anthropicgtgreport2025,misc,3,,yes,vendor_report,primary_vendor,included_record,yes,yes,HTML+EXTRACT,PASS,local full-report extract; incident remains qualified
bloggoogle2025,misc,3,bloggoogle-summer2025,yes,vendor_blog,primary_vendor,loop_transition,no,yes,HTML+GREP-VERIFIED,PASS,
